Modulation:;Orders:;Amplitudes:;Input size:;SNR:;BER [%]:
PSK;4;2.0;12000;1.9;0.29
APSK;(4, 4);(2.0, 4.0);12000;1.9;1.0
ASK;4;2.0;12000;2.0;1.69
PSK;4;2.0;12000;2.0;0.23
APSK;(4, 4);(2.0, 4.0);12000;2.0;0.87
ASK;8;2.0;12000;0.1;23.35
PSK;8;2.0;12000;0.1;33.04
APSK;(8, 8);(2.0, 4.0);12000;0.1;34.77
ASK;8;2.0;12000;0.2;16.7
PSK;8;2.0;12000;0.2;26.46
APSK;(8, 8);(2.0, 4.0);12000;0.2;27.72
ASK;8;2.0;12000;0.3;13.28
PSK;8;2.0;12000;0.3;22.12
APSK;(8, 8);(2.0, 4.0);12000;0.3;22.74
ASK;8;2.0;12000;0.4;11.05
PSK;8;2.0;12000;0.4;18.93
APSK;(8, 8);(2.0, 4.0);12000;0.4;19.47
ASK;8;2.0;12000;0.5;9.27
PSK;8;2.0;12000;0.5;16.45
APSK;(8, 8);(2.0, 4.0);12000;0.5;16.68
ASK;8;2.0;12000;0.6;8.03
PSK;8;2.0;12000;0.6;14.5
APSK;(8, 8);(2.0, 4.0);12000;0.6;14.37
ASK;8;2.0;12000;0.7;6.92
PSK;8;2.0;12000;0.7;12.95
APSK;(8, 8);(2.0, 4.0);12000;0.7;12.44
ASK;8;2.0;12000;0.8;6.01
PSK;8;2.0;12000;0.8;11.65
APSK;(8, 8);(2.0, 4.0);12000;0.8;11.09
ASK;8;2.0;12000;0.9;5.26
PSK;8;2.0;12000;0.9;10.55
APSK;(8, 8);(2.0, 4.0);12000;0.9;9.97
ASK;8;2.0;12000;1.0;4.58
PSK;8;2.0;12000;1.0;9.56
APSK;(8, 8);(2.0, 4.0);12000;1.0;8.9
ASK;8;2.0;12000;1.1;4.0
PSK;8;2.0;12000;1.1;8.7
APSK;(8, 8);(2.0, 4.0);12000;1.1;7.77
ASK;8;2.0;12000;1.2;3.55
PSK;8;2.0;12000;1.2;7.97
APSK;(8, 8);(2.0, 4.0);12000;1.2;7.08
ASK;8;2.0;12000;1.3;3.12
PSK;8;2.0;12000;1.3;7.31
APSK;(8, 8);(2.0, 4.0);12000;1.3;6.32
ASK;8;2.0;12000;1.4;2.75
PSK;8;2.0;12000;1.4;6.75
APSK;(8, 8);(2.0, 4.0);12000;1.4;5.85
ASK;8;2.0;12000;1.5;2.42
PSK;8;2.0;12000;1.5;6.22
APSK;(8, 8);(2.0, 4.0);12000;1.5;5.32
ASK;8;2.0;12000;1.6;2.15
PSK;8;2.0;12000;1.6;5.74
APSK;(8, 8);(2.0, 4.0);12000;1.6;4.84
ASK;8;2.0;12000;1.7;1.9
PSK;8;2.0;12000;1.7;5.3
APSK;(8, 8);(2.0, 4.0);12000;1.7;4.46
ASK;8;2.0;12000;1.8;1.68
PSK;8;2.0;12000;1.8;4.87
APSK;(8, 8);(2.0, 4.0);12000;1.8;4.05
ASK;8;2.0;12000;1.9;1.5
PSK;8;2.0;12000;1.9;4.54
APSK;(8, 8);(2.0, 4.0);12000;1.9;3.65
ASK;8;2.0;12000;2.0;1.32
PSK;8;2.0;12000;2.0;4.22
APSK;(8, 8);(2.0, 4.0);12000;2.0;3.44
